"publisher.keyword: Descending",Count
"Japanese Association of Rehabilitation Medicine",402
"Resilience Alliance, Inc.",402
"The Japan Society of Computer Aided Surgery",401
EDIPUCRS,400
"University of Alberta",399
"The William and Mary Quarterly",398
"Korean Society of Obstetrics and Gynecology (KAMJE)",396
"Taylor & Francis",396
"Cactus and Succulent Society of America",395
"Federation of Turkish Pathology Societies",394
"Japan Society of Personality Psychology",394
"Our Dermatology Online",394
"American Psychiatric Association Publishing",389
"Athabasca University Press",389
"The Korean Association of Oral and Maxillofacial Surgeons (KAMJE)",389
"American Museum of Natural History (BioOne sponsored)",385
"John Wiley & Sons Singapore Pte. Ltd.",385
Lavoisier,385
"Departmento de Publicaciones del CSIC",382
"The Japanese Psychological Association",382
"Acoustical Society of Japan",380
"Physiological Society of Japan",380
"EAGE Publications BV",379
"Wiley Publishing, Inc.",379
AMSUS,378
"Coleopterists Society",377
"Japan Society for the Philosophy of Sport and Physical Education",377
"Oman Medical Journal",377
"Society for Underwater Technology",377
"International Society for Phytocosmetic Sciences",376
"Royal Pharmaceutical Society",376
"Anticancer Research USA Inc.",375
"Museum National d'Histoire Naturelle, Paris, France",375
"The American Mosquito Control Association",375
"Japan Society for Clinical Anesthesia",374
"The Textile Machinery Society of Japan",372
ACM,371
"IEEE Conference Publications",371
"Wildlife Biology",365
"Botanic Garden & Botanical Museum Berlin-Dahlem BGBM",364
"Journal of Systems Engineering and Electronics",364
"Boston College University Libraries",361
"Korean Association of Orthodontists (KAMJE)",361
"Carl Hanser Verlag GmbH &amp; Co. KG",359
"Mouton de Gruyter",359
"Japan Society of Health Psychology",357
"Apple Academic Press",356
"BMJ Publishing Group Ltd.",354
"Ewha Womans University School of Medicine (KAMJE)",354
"Western North American Naturalist",354
"The Japan Geriatrics Society",353
"Bulletin of Marine Science",352
"Agricultural History Society",351
"The Geological Society of Japan",351
"Men's Studies Press, LLC",350
"E-MED LTD",346
"Nofer Institute of Occupational Medicine",346
"British Cactus and Succulent Society",343
"National Library of Serbia",343
"Society for the Study of Reproduction",339
"The Materials Research Society of Japan",339
"Mammalogical Society of Japan",338
"Royal College of General Practitioners",335
"Editorial Committee of Annals of Thoracic and Cardiovascular Surgery",334
"Japanese Society of Oral and Maxillofacial Surgeons",334
"Society of Southwestern Entomologists",332
"Stellenbosch University",332
"PERSEE Program",331
"National Association of Geoscience Teachers",329
"T.M.C. Asser Press",328
"The Mass Spectrometry Society of Japan",328
"Japan Poultry Science Association",327
"New England Botanical Club",327
"Society of Wetland Scientists",327
"Finnish Zoological and Botanical Publishing Board",326
"The Middle East Journal",326
"Australian Journal of Information Systems",324
"Cureus, Inc.",324
"Pan Stanford Publishing",324
"ACTA Endocrinologica Foundation",323
"Cancer Intelligence",321
"Decker, Inc.",321
"NeuroQuantology Journal",321
"The Japan Society of Acupuncture and Moxibustion",321
"Tokyo Institute of Technology, Department of Mathematics",321
"Indiana Magazine of History",320
"The Human Geographical Society of Japan",318
"De Gruyter Oldenbourg",317
"Asian Pacific Journal of Tropical Medicine Press",314
EduRad,312
"Korean Pain Society (KAMJE)",311
"Oekom Publishers GmbH",307
"Pan Stanford",307
"Lawrence and Wishart",306
"Faculty of Mathematics, Computer Science and Econometrics, University of Zielona Gora",305
"Editorial Committee of Japanese Journal of Infectious Diseases, National Institute of Infectious Dis",304
"Korean Society of Hematology; Korean Society of Blood and Marrow Transplantation",304
"Faculty of Mechanical Engineering",303
"Japan Society of Veterinary Epidemiology",303
"The Korean Association of Immunobiologists (KAMJE)",302
"Royal Swedish Academy of Sciences",301
"Uniwersytetu Marii Curie-Sklodowskiej w Lublinie",301
"Natural Areas Journal",300
"Academy of Management",299
"Japan Society for Higher Brain Dysfunction",298
"Parenteral Drug Association, Inc.",297
"Clay Minerals Society",296
"Ubiquity Press, Ltd.",296
"Palgrave Macmillan",295
"Longwoods Publishing",294
"The Higher Education Academy",293
"American Society for Enology and Viticulture",292
"The Korean Academy of Conservative Dentistry (KAMJE)",292
"Biomedical Research Press",291
Oldenbourg,291
Sciyo,290
"Japan Society of Hydrology and Water Resources",288
"Institute of Education Press",287
"Japan Prosthodontic Society",287
"Kansas Academy of Science",287
"Oldenbourg Wissenschaftsverlag Verlag",287
"University of Technology, Sydney (UTS)",287
"Periodica Polytechnica Budapest University of Technology and Economics",286
AMPCo,285
"Faculty of Food and Agriculture, United Arab Emirates University",285
"Universities Federation for Animal Welfare",285
"AKADEMIE VERLAG",282
"Esmon Publicidad, SA",280
"Sestre Milosrdnice University Hospital Center (KBC Sestre milosrdnice)",278
"University of Tokushima Faculty of Medicine",278
"Southern Cross Publishing",277
"Torrey Botanical Society",277
"The University of Occupational and Environmental Health, Japan",276
"BMJ Publishing Group Ltd and British Thoracic Society",275
"Hosokawa Powder Technology Foundation",275
"Offshore Technology Conference",275
"T. M. C. Asser Press",275
"Helminthological Society",273
"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences",271
"Japan Society of Coloproctology",268
"eLife Sciences Organisation, Ltd.",268
"Brno University of Technology",267
"BMJ Publishing Group Ltd and British Cardiovascular Society",265
"The Korean Society of Medical Informatics (KAMJE)",264
"Japanese Society for Magnetic Resonance in Medicine",262
"Conservation International",260
"Pacific Affairs",259
"Asian Australasian Association of Animal Production Societies",258
MTT005,258
"European Association of Cardiothoracic Surgery (EACTS Publishing Ltd)",257
"Korean Academy of Oral and Maxillofacial Radiology (KAMJE)",254
"Paediatrica Indonesiana - Indonesian Pediatric Society",250
"ZBW - German National Library of Economics",250
BRILL,249
"Stolichnaya Izdatelskaya Kompaniyaizdat",249
"Korean Society of Infectious Diseases and Korean Society for Chemotherapy (KAMJE)",247
"National League for Nursing",246
"Penerbit Universiti Sains Malaysia",245
"Lepidopterists' Society",244
"OLDENBOURG WISSENSCHAFTSVERLAG",243
"The Japanese Society of Physical Fitness and Sports Medicine",243
"Oslo and Akershus University College of Applied Sciences",242
"Polska Akademia Nauk Instytut Paleobiologii (Institute of Paleobiology, Polish Academy of Sciences)",241
"The Japan Institute of Energy",241
"AMS Press, Inc.",240
SEG,240
"Comparative Politics CUNY",239
"ARKAT USA, Inc.",237
"Croatian Chemical Society",237
"The Japan Society of High Pressure Science and Technology",237
"International Society for Neurofeedback Research (ISNR)",236
"Yeungnam University College of Medicine (KAMJE)",236
"Japan Society of Drug Delivery System",235
"Japanese Society of Animal Science",234
"African Traditional Herbal Medicine Supporters Initiative (ATHMSI)",233
"Bohn Stafleu van Loghum",232
"Botanical Garden Meise",232
"Auerbach Publications",231
"Digital Science Press (Urotoday International Journal)",225
"RWS Verlag GmbH",225
"Universitas Indonesia, Directorate of Research and Public Service",225
"Entomological Society of Washington",224
"Oncology Nursing Society (ONS)",224
"American Academy of Sleep Medicine (AASM)",223
"International Journal of Spine Surgery",223
"R. Oldenbourg Verlag",223
"Society of Geomagnetism and Earth, Planetary and Space Sciences",223
"The Editorial Committee of Annals of Vascular Diseases",223
"Scipedia, S.L.",222
"Archives of Pathology and Laboratory Medicine",221
"Society of Conservatoire at Jardin Botaniques de la Ville de Geneve",221
"CISP Journal Services",220
ISTE,220
"Tokyo Journal of Mathematics",220
"Archaeological Institute of America",218
"WARC Limited",218
"Blackwell Publishing",217
"Central Fisheries Research Institute",217
"Japan International Research Center for Agricultural Sciences",217
"Veterinary World",217
"Japanese Association for Petroleum Engineers",216
"Society of Exploration Geophysicists and Environment and Engineering Geophysical Society",216
"The Sedimentological Society of Japan",216
"Universidade Federal do Estado do Rio de Janeiro UNIRIO",216
"International Council for Traditional Music",215
"Pacific Science",215
"Springer Healthcare Ltd.",214
"The Korean Society for Brain and Neural Science (KAMJE)",214
"Harvard University Botany Libraries",213
Castanea,212
"HAU, Journal of Ethnographic Theory",212
"Institute of Rural Health",212
"Journal of Negro Education",212
MDPI,212
"Tokyo Dental College",212
"ASM Press",211
"Böhlau Verlag",210
ICST,210
"Institute of Southeast Asian Studies",210
"Korean Association of Anatomists (KAMJE)",210
"Begell House",209
"Cornell University Press",209
"Queen's University Library",209
"Italian Society of Sivilculture and Forest Ecology (SISEF)",208
"Department of Anatomy Keio University School of Medicine",207
"Japanese Society of Agricultural, Biological and Environmental Engineers and Scientists",207
"Universidad de los Andes",207
"Mechanical Engineering Faculty in Slavonski Brod",206
"American Arachnological Society",205
"Japan Society of Marketing and DIstribution",204
"Michigan Historical Review",204
"Pontificia Universidad Catolica de Valparaiso",204
"Japan Society for Laser Surgery and Medicine",202
"Japan Veterinary Medical Association",202
"Herpetologists League",201
"Japan Society of Engineering Geology",201
"The Carbon Society of Japan",201
"Japan Society for Head and Neck Surgery",200
"Polskie Towarzystwo Biochemiczne (Polish Biochemical Society)",200
"Crustacean Society",199
"Egitim Danismanligi ve Arastirmalari (EDAM)",198
"American Malacological Society",197
"Association for Tropical Biology",197
"Universidad Nacional de Costa Rica",197
"Japanese Society of Toxicologic Pathology",195
"CIC Edizioni Internazionali",194
"Canadian Public Health Association",194
"SF-TH, Inc.",194
"Saudi Medical Journal",194
"Japan Society for Oriental Medicine",193
"thinkBiotech, LLC",193
"Institute of Mathematics, Polish Academy of Sciences",192
"The Japan Society for Composite Materials",191
"American Fern Society",190
"Georgia Entomological Society",190
"Japan Society of Applied Electromagnetics and Mechanics",190
"Keio Journal of Medicine",189
"The Korean Hip Society (KAMJE)",189
"Canadian Society of Hospital Pharmacists (CSHP)",188
"Dietitians of Canada",188
"International Medical Press",188
"National Institute of Standards and Technology (NIST)",188
"Taylor &amp; Francis",188
"WILEY-VCH Verlag GmbH & Co KGaA",188
"Indian Academy of Neurosciences",187
"The Korean Society of Pediatric Gastroenterology, Hepatology and Nutrition (KAMJE)",187
"The Visualization Society of Japan",187
"Akademi Doktorlar Yayinevi",186
DUV,186
"Japanese Association for Rural Studies",186
"Korean Society for Molecular and Cellular Biology",186
Phoenix,186
"Asia Pacific Association of Allergy, Asthma, and Clinical Immunology (KAMJE)",184
"Universidade de Sao Paulo, Agencia USP de Gestao da Informacao Academica (AGUIA)",184
"Modestum Limited",183
NEPAS,183
"The Korean Gastric Cancer Association (KAMJE)",182
"Japan Radioisotope Association",181
"Japan Society of Equilibrium Research",181
"The Bulletin of Zoological Nomenclature",181
"Arachnological Society of Japan",180
"Institute of Vertebrate Biology, Academy of Sciences of the Czech Republic",180
"Japan Society of Photogrammetry and Remote Sensing",180
"North Carolina Institute of Medicine",180
"BMFH Press",179
"Elmer Press, Inc.",179
"Fakultas Ekonomi dan Bisnis Universitas Indonesia",179
"Oldenbourg Wissenschaftsverlag",179
"The Biological Society of Washington",179
"Portal de Revistas PUC SP",178
"Techno-Press",178
"TESL Canada Federation",176
"Children, Youth and Environments Center",175
"Classical Association of the Middle West and South, Inc (CAMWS)",175
"Society for Hard Tissue Regenerative Biology",175
"Walter de Gruyter – Max Niemeyer Verlag",175
"Internet Mathematics",174
"Korean Society of Echocardiography (KAMJE)",174
"The Korean Society for Reproductive Medicine (KAMJE)",174
"Universidad Nacional de Cordoba",174
"International Mycological Association (IMA)",173
"Japan Society of Waste Management Experts",173
"Korean Association for Laboratory Animal Science (KAMJE)",173
"Australian and New Zealand Society of the History of Medicine",171
"Instituto de Pesquisas Ambientais em Bacias Hidrograficas (IPABHi)",171
"Sociedade Paranaense de Matematica",171
"The Raptor Research Foundation, Inc.",171
"American Cancer Society",170
"The Japanese Congress of Neurological Surgeons",170
"Universidad del Norte",170
"ID Design 2012/DOOEL Skopje",169
"Imaidea Interactiva, S.L.",169
"John Wiley & Sons (Asia) Pte Ltd",169
"University of Puerto Rico at Mayaguez",169
"Adam Mickiewicz University (Euclid)",168
"American Institute of Certified Public Accountants, Inc.",168
"Anthropological Society of Nippon",168
"Compuscript, Ltd.",168
"DE GRUYTER SAUR",168
"Rocky Mountain Geology, University of Wyoming",168
"Blackwell Science Ltd",167
"Department of Mathematics, Hokkaido University",167
"Edinburgh University Global Health Society",167
"Japan Technical Association of the Pulp and Paper Industry",167
"Medical Faculty, University in Nis",166
"The Japan Society of Tropical Ecology",166
"Japanese Society of Tribologists",165
"Kansas Entomological Society",165
"Pak Publishing Group",165
"Servicio de Publicaciones de la Universidad Autonoma de Madrid",165
"The Japan Society of Nuclear and Radiochemical Sciences",165
"Universidad de Antioquia",165
"Japan Society of Gynecologic and Obstetric Endoscopy and Minimally Invasive Therapy",164
"Korean Society of Spine Surgery (KAMJE)",164
"Japan Society for Research on Emotions",163
"University of Tartu Press",163
"Check List Journal",161
"Japan Society of Electrical Machining Engineers",161
"Japanese Association for the Integrated Study of Dietary Habits",161
"Korean Academy of Nursing Administration (KAMJE)",161
"AACE Corp (American Association of Clinical Endocrinologists)",160
"Korean Society of Cerebrovascular Surgeons/Korean Society of Endovascular Surgery (KAMJE)",160
"The Japan Institute of Marine Engineering",160
"East African Natural History Society",159
"Netherlands Ornithologists' Union",159
"Blackwell Publishers Ltd",158
"Eastern Group Psychotherapy Society",158
"Japan Society of Sarcoidosis and Other Granulomatous Disorders",158
"Society of Ethnobiology",158
"Textrum, Ltd.",158
"The Korean Association of Hepato-Biliary-Pancreatic Surgery",158
"Morgan & Claypool Publishers LLC",157
"Asociacion Colombiana de Infectologia - ACIN",156
"Northwest Scientific Association",156
"American Society of Agronomy, Crop Science Society of America",155
"Baycinar Tibbi Yayincilik",155
"Korean Association of Internal Medicine",155
"Paradigm Publishers",155
"Korean Association for the Study of Intestinal Diseases (KAMJE)",154
"Kurume Medical Journal",154
"Vandenhoeck & Ruprecht",154
"River Publishers",153
"Canadian Periodical for Community Studies",152
"Institute of Malacology",152
"Japanese Association of Virology",152
"Science Publishers",152
"The Japanese Society of Applied Glycoscience",152
"Annals of Mathematics, Princeton U",151
"John Wiley & Sons, Ltd,.",151
"Academic Studies Press",150
"JStage (Ornithological Society of Japan)",150
"New York Entomological Society",150
"Southern California Academy of Sciences",150
"Editorial Pontificia Universidad Javeriana",149
"Global War Studies",149
"Institute of Geographic Science and Natural Resources Research, Chinese Academy of Sciences",149
"International Phototherapy Association",149
"Oldenbourg Wissenschaftsverlag GmbH",149
"Royal Irish Academy",149
"The Japan Fluid Power Systems Society",149
"American Society of Consultant Pharmacists",148
"Chonnam National University Medical School (KAMJE)",148
"The International Centre for Trade Union Rights (ICTUR)",148
"Foundation of Computer Science",147
"Pacific Coast Entomological Society",147
"Academic Forensic Pathology International",146
INFORMS,146
"John Wiley and Sons Ltd",146
"University of Arizona",146
"Biology Centre, AS CR",145
"Japan Society of Smooth Muscle Research",145
"Perspectives of New Music",145
"The Korean Nutrition Society (KAMJE)",145
"Revista Investigaciones Geograficas, Boletin",144
Ardeola,143
"Japanese Society for Histocompatibility and Immunogenetics",143
"King Faisal Specialist Hospital and Research Centre",143
"Korean Society for Sexual Medicine and Andrology (KAMJE)",143
"Society of Rheology Japan",143
"WORLD CENTURY PUBLISHING CORPORATION",143
"Japan Society for Comparative Endocrinology",142
"Japanese Society for Pediatric Endocrinology",141
"Korean Society of Plastic and Reconstructive Surgeons",140
"Society for Integrative and Comparative Biology",140
"Japanese Society of Pharmaceutical Health Care and Sciences",139
"Society of Agricultural Meteorology of Japan",139
"UPF Editora",138
"Academy of Inventors",136
"Grupo Comunicar",136
"International Union of Crystallography",136
"SCITEPRESS - Science and and Technology Publications",136
"IMDA Press",135
"Institute of Aeronautics and Space",135
"The Korean Dental Society of Anesthesiology (KAMJE)",135
"Northwestern Naturalist",134
"Internet Society",133
Intersentia,133
"Korean Neurosurgical Society",133
"Japan Society of Transfusion Medicine and Cell Therapy",132
"Korean Society of Adult Nursing",132
"The Korean Society of Bone Metabolism (KAMJE)",132
"The Plankton Society of Japan/The Japanese Association of Benthology",132
"Beta Beta Biological Society",131
"Taiwan Association for Aerosol Research",131
"JCDR Research and Publications",130
"Railway Technical Research Institute",130
"The Japan Society of Logopedics and Phoniatrics",130
"The Japan Society of Polymer Processing",130
"Institute of Electrical and Electronics Engineers",129
"The Japanese Geotechnical Society",129
"Birkhäuser-Verlag",127
"HARD Publishing Company",127
"JPPS Journal",127
"Journal of Turgut Ozal Medical Center",127
"Specjalisci Dermatolodzy",127
"The Korean Rheumatism Association (KAMJE)",127
"EBLIP Journal",126
Herzogia,126
"Japan Society for Lactic Acid Bacteria",126
"Japanese Society of Allergology",126
"Korean Society of Clinical Nutrition (KAMJE)",125
"Mehr Publishing Group",125
"Ornithological Society of Japan",125
"American Mathematical Society",124
"International Scientific Literature",124
"Japan Society of Cosmetic Chemists of Japan",124
"Japan Surgical Association",124
"Japanese Society of Nutrition and Food Science",124
"IEEE eXpress Conference Publishing",123
"The Institute of Systems, Control and Information Engineers",123
"International Journal of Medical Education",122
"Purdue University Press",122
"Revista FSA",122
"Soil Science Society of America and American Society of Agronomy",122
"Bulletin of Chemical Reaction Engineering and Catalysis",121
"Institute of Image Information and Television Engineers",121
"Institute of Social Sciences Ivo Pilar",121
"John Wiley $@#*^%#@#amp; Sons, Inc.",121
"Behaviormetric Society of Japan",120
"Korean Neuropsychiatric Association (KAMJE)",120
"Korean Neurotraumatology Society (KAMJE)",120
"Pravni Fakultet Sveucilista u Zagrebu (Law School of the University of Zagreb)",120
"American Institute of Aeronautics and Astronautics, Inc.",119
"Colegio Brasileiro de Atividade Fisica Saude e Esporte (COBRASE)",119
"Desafio Singular, Lda",119
KOREMA,119
"Multilingual Matters",119
"American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America",118
"Clujul Medical",118
"Scholar Science Journals",118
"John Wiley & Sons, Singapore Pte. Ltd",117
"Journal of Graduate Medical Education",117
"Kentucky Academy of Science",117
"Japan Society for Environmental Chemistry",116
"Pediatric Pharmacy Advocacy Group",116
"Chinese Journal of Mechanical Engineering",115
"De Gruyter Akademie Forschung",115
EconJournals,115
"Harrassowitz Publishing House",115
"International AIDS Society",115
"The Stomatological Society, Japan",115
"Universidade Federal do Rio Grande do Sul",115
"Faculty of Forestry, University of Zagreb",114
"The Japan Society for Technology and Plasticity",114
"Vathek Publishing",114
"Division of Functional Equations, The Mathematical Society of Japan (JST)",113
"Journal of the Physical Society of Japan",113
"Co-Action Publishing",112
"Japanese Society for Lymphoreticular Tissue Research",112
"Japanese Society of Periodontology",112
MTT004,112
"International Petroleum Technology Conference",111
"Korean Oncology Nursing Society (KAMJE)",111
"Lithuanian Academy of Sciences",111
"Biotechnical Faculty",110
"Forum: Carbohydrates Coming of Age",110
"Japan Society for Oral Tumors",110
"The Weed Science Society of Japan",110
"UCLA American Indian Studies Center",110
"Bernoulli Society for Mathematical Statistics and Probability",109
OpenEdition,109
"Science and Medicine, Inc.",108
"Global IT Research Institute (GIRI)",107
"Publiverse Online S.R.L",107
"Thieme Medical Publishers, Inc.",107
"A K Peters/CRC Press",106
"Japan Society of Family Sociology",106
"Singapore Medical Journal",106
"Cornell SEAP",105
"Finnish Academy of Science and Letters",105
"Press of International Journal of Ophthalmology (IJO Press)",105
"Society of Biblical Literature/SBL Press",105
"Czech Technical University in Prague - Central Library",103
"The Korean Society of Menopause (KAMJE)",103
"The Resources Processing Society of Japan",103
"Editions NecPlus",102
"Science Impact, Ltd.",102
"Korean Endocrine Society (KAMJE)",101
"American Dental Society of Anesthesiology (ADSA)",100
"Japan Society for Southeast Asian Studies",100
"Academic Publishing House Researcher",99
"Croatian Operational Research Society",98
"Japan Institute of Electronics Packaging",98
"Japanese Association for Oral Biology",98
"Japanese Society of Mammalian Ova Research",98
"NPS MedicineWise",98
"Al Manhal FZ, LLC",97
Arachology,96
"John Wiley & Sons Ltd.",96
"Korean Society for Parasitology",96
"Brazilian Geophysical Society",95
"Czech Geological Society",95
"ISHIB (Ethnicity & Disease)",95
"American Association of Cereal Chemists",94
"Japan Society of Health Promotion and Physical Therapy",94
"The Paleontological Society of Japan",94
"Derm101.com",93
"Korean Society of Exercise Rehabilitation",93
"Lepidus Tecnologia",93
"Society of Exploration Geophysicists of Japan",93
"The Korean Brain Tumor Society, The Korean Society for Neuro-Oncology (KAMJE)",93
"Cleveland Clinic Journal of Medicine",92
"Ernst & Sohn Verlag für Architektur und technische Wissenschaften GmbH & Co. KG",92
"I-Tech Education and Publishing",92
"Japanese Association for Acute Medicine",92
"BMJ Publishing Group Ltd and British Association of Sport and Exercise Medicine",91
"Barbara Budrich Publishers",91
"Bogucki Wydawnictwo Naukowe",91
"Japan Society of Immunology and Allergology in Otolaryngology",91
"Jurnal Hukum dan Pembangunan",91
"The Korean Society of Pharmacognosy (KAMJE)",91
"Cancer Biology and Medicine",90
"Japanese Society of Systematic Zoology",90
"Korean Vaccine Society (KAMJE)",90
"National Inquiry Services Center (NISC)",90
"Primate Society of Japan",90
"The Association of Japanese Geographers",90
"Cryogenic Association of Japan",89
"Korean Academy of Rehabilitation Medicine (KAMJE)",89
"Society of Japan Science Teaching",89
"Southern African Wildlife Management Association",89
"The Japanese Society for Multiphase Flow",89
"The Society of Laparoendoscopic Surgeons",89
"Chinese Nursing Research",88
"Czech Academy of Agricultural Sciences",88
"Japanese Association of Forensic Science and Technology",88
"The Korean Society of Community Nutrition (KAMJE)",88
"Chelonian Conservation and Biology Journal",87
"DEUTSCHE VERLAGS-ANSTALT",87
"Editora da Universidade Federal Rural do Semi-Arido - EdUFERSA",87
"IOSR Journals",87
"Japan Society of Sports Industry",87
"Medical Media Communications, Ltd. T/A Radcliffe Cardiology",87
"Natal Museum of South Africa",87
"Royal Society of Chemistry",87
Multiphysics,86
"Shima Publishing",86
"The Feinstein Institute for Medical Research (North Shore LIJ Research Institute)",86
"The Japanese Journal of Gastroenterological Surgery",86
"Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University",86
"Academy of Natural Sciences of Philadelphia",85
"American Academy of Orthopaedic Surgeons",85
"Japan Association of Solvent Extraction",85
"Japanese Society of Anti-Aging Medicine",85
"Johnson Graduate School of Management, Cornell University",85
"Revista ACTA Geografica",85
Ursus,85
"Vincentz Network",85
"Association of Field Ornithologists",84
"Carnegie Museum of Natural History",84
"Korean Academy of Women's Health Nursing (KAMJE)",84
"Korean Society for Food Science of Animal Resources",84
"The Korean Society for Microbiology and The Korean Society of Virology (KAMJE)",84
"Business History Society of Japan",83
"Ottawa Field-Naturalists' Club",83
"Psychologia Society",83
"Society of Glass Technology",83
AAPM,82
"Human Biology (The International Journal of Population Biology and Genetics)",82
"Productivity Press",82
"The Japan Society of Thermophysical Properties",82
"AOCS Publishing",81
"American Association of Textile Chemists and Colorists (AATCC)",81
"American Society of Agronomy, Soil Science Society of America",81
"Mobilization Journal",81
"Pontificia Universidad Catolica de Chile",81
"SRUMB - Romanian Society for Ultrasonography in Medicine and Biology",81
"Sociedade Brasileira de Cirurgia Cardiovascular",81
"Wiley Subscription Services, Inc., A Wiley Company",81
"Deomed Publishing",80
"Field Museum of Natural History",80
"Oldenbourg Verlag",80
"Gesellschaft Schweizer Tierarztinnen und Tierarzte",79
"Institute of Hematology, Catholic University",79
"Korean Academy of Community Health Nursing (KAMJE)",79
"Korean Chemical Society",79
"Society for Cultural Anthropology",79
"Society of Exploration Geophysicists, Australian Society of Exploration Geophysicists, Chinese Geophysical Society, Korean Society of Earth and Exploration Geophysicists, and Society of Exploration Geophysicists of Japan",79
"The Fukushima Society of Medical Science",79
"Associacao Brasileira de Engenharia de Producao - ABEPRO",78
"Bulletin of the Peabody Museum of Natural History",78
"Gorgias Press",78
"Johns Hopkins School Bloomberg School of Public Health, Center for Communication Programs",78
"Royal College of Obstetricians & Gynaecologists (RCOG)",78
"The Japan Society of Christian Studies",78
"World Scientific Publishing Co.",78
"Asia Pacific Academy of Ophthalmology",77
"National Taiwan University",77
"Faculdade de Economia, Administracao e Contabilidade",76
"Instituto de Investigaciones Filologicas",76
"IEEE Comput. Soc",75
"UC Merced School of Natural Sciences",75
"Acta Medica Saliniana",74
"Hanyang University College of Medicine (KAMJE)",74
"Japan Association for Wind Engineering",74
"The Editorial Office of Gut and Liver",74
"American Society of Agronomy, Crop Science Society of America, and Soil Science Society of America, Inc.",73
"Brill Deutschland GmbH",73
"Croatian Dairy Union",73
"Japan Institute of Navigation",73
"Japanese Society of Clinical Pharmacology and Therapeutics",73
"Korean Society of Otorhinolaryngology-Head and Neck Surgery",73
"Nordic Pulp and Paper Research Journal",73
"Polish Botanical Society",73
"The Marine Acoustics Society of Japan",73
"American Society for Horticultural Science",72
"Multi-Science Publishing Co. Ltd.",72
"Society of Exploration Geophysicists and European Association of Geoscientists and Engineers",72
"Association for Applied Psychophysiology and Biofeedback",71
"Japanese Institute of Landscape Architecture",71
"MIT Press",71
"Scrivener Publishing",71
"Scuola Normale Superiore",71
"Society of Exploration Geophysicists, American Association of Petroleum Geologists, Society of Petroleum Engineers",71
"American Counseling Association",70
"China Science Publishing & Media Ltd.",70
"EJournal Publishing",70
"Institute of Molecular Biology and Genetics (NAS Ukraine)",70
"Korean Society for Clinical Pharmacology and Therapeutics (KAMJE)",70
"The Korean Society of Applied Pharmacology",70
"The Korean Society of Food Science and Nutrition",70
"The Sessile Organisms Society of Japan",70
"Biomedical Informatics",69
"Dustri-Verlgag Dr. Karl Feistle",69
"Feminist Studies",69
"John Wiley &;#38; Sons, Inc.",69
"Korean College of Helicobacter and Upper Gastrointestinal Research (KAMJE)",69
Praxis,69
"The Society for Near Eastern Studies in Japan",69
"Brazilian Herpetological Society",68
"Hindustan Book Agency",68
"The Agricultural Economics Society of Japan",68
"Presses Universitaires de France",67
"The Open University",67
GENES,66
"Japanese Society for Bacteriology",66
"Universidad de la Sabana",66
"Association of Reptilian and Amphibian Veterinarians (ARAV)",65
"Department of Biomedical Imaging, University of Malaya, Malaysia",65
"Instituto de Investigaciones Oceanologicas",65
"Japan Association for Quaternary Research",65
"Korean Academy of Oral Health (KAMJE)",65
"Korean Cancer Association",65
"Korean Pediatric Society (KAMJE)",65
"Physica-Verlag",65
"UCL Press",65
"American Concrete Institute",64
"Astro, Ltd.",64
"Bloomsbury Academic",64
"CO-PUBLISHED WITH SINGAPORE UNIVERSITY PRESS",64
"Electric Furnace Steel Forum",64
IUScholarWorks,64
"Japan Health Physics Society",64
"The MIT Press",64
"The Spectroscopical Society of Japan",64
"Association of Biomolecular Resource Facilities",63
"Birkhäuser",63
"Croatian Philosophical Society (Hrvatsko filozofsko drustvo)",63
"De Gruyter Open",63
"Society of Computer Chemistry Japan",63
"International Society for the Scholarship of Teaching and Learning",62
"John Wiley & Sons, Ltd.,",62
"The Korean Academy of Psychiatric and Mental Health Nursing (KAMJE)",62
"Association for Information Systems",61
"Faculty of Political Science, University of Zagreb",61
"Japanese Society of Inflammation and Regeneration",61
"The Japanese Society of Limnology",61
"Uluslararasi Insan Bilimleri Dergisi",61
"Hellenic Society of Gastroenterology",60
"Irish Journal of French Studies",60
"Japan Association of Ion Exchange",60
"The Japan Society for Industrial and Applied Mathematics",60
"The Korean Society of Critical Care Medicine",60
"World Journal of Emergency Medicine",60
"Food Technology and Biotechnology Journal",59
JANAS,59
"Princeton Archit.Press",59
"The Showa University Society",59
"University of California, Berleley, Library",59
"American Society of Agronomy, Inc., Crop Science Society of America, Inc., and Soil Science Society of America, Inc.",58
"Current Medicine Group",58
"Japanese Society for Dialysis Therapy",58
"Science Publishing Group",58
"Stilus Optimus",58
"The Society for Actinomycetes Japan",58
"The Society of Materials Engineering for Resources of Japan",58
"University of California Agriculture and Natural Resources (UC ANR)",58
"Wilhelm Ernst & Sohn, Verlag für Architektur und technische Wissenschaften GmbH & Co. KG",58
"Geological Society of America Special Papers",57
"Japan Chapter of International Geosynthetics Society",57
"New World Publishing International, Inc.",57
"Oxfam Publishing",57
"Wacana Journal of the Humanities of Indonesia",57
"American Society of Agronomy and Soil Science Society of America",56
"Association for Career and Technical Education Research",56
"Centaurus Verlag & Media",56
"Croatian Interdisciplinary Society",56
"Faculty of Engineering Diponegoro University",56
