"journal_name.keyword: Descending",Count
"Biomedical Chromatography",5724
"Journal of Public Economics",5718
"Industrial & Engineering Chemistry Process Design and Development",5717
"Finite Elements in Analysis and Design",5713
"Tunnelling and Underground Space Technology",5713
"Microscopy Research and Technique",5712
"Journal of PeriAnesthesia Nursing",5709
"Current Therapeutic Research",5708
"Artificial Organs",5705
"Gynécologie Obstétrique & Fertilité",5704
"International Journal of Neuroscience",5703
"Regulatory Toxicology and Pharmacology",5701
Haemophilia,5700
"Veterinary Pathology",5700
"American Midland Naturalist",5699
"Zeitschrift für Physik C Particles and Fields",5699
"Journal of the American College of Radiology",5697
"Journal of Applied Entomology",5694
"Journal of Gastroenterology",5694
"Virchows Archiv",5693
"Revue Française d'Allergologie et d'Immunologie Clinique",5691
"Economics of Education Review",5690
"Journal of Psychiatric Research",5687
Psychoneuroendocrinology,5682
"Journal of Composite Materials",5680
"Pastoral Psychology",5679
"Communications in Computer and Information Science",5675
"The Slavic and East European Journal",5675
"Physica C: Superconductivity and its Applications",5670
"Kagaku To Seibutsu",5669
"Transactions of the ASAE",5669
"Trends in Cognitive Sciences",5667
"American Journal of Respiratory Cell and Molecular Biology",5666
"Control Engineering Practice",5664
"International Journal of Climatology",5664
English,5661
"Autonomic Neuroscience",5659
"Cerebral Cortex",5656
"Zeitschrift für Naturforschung A",5655
"Environmental Geology",5653
Challenge,5645
Sedimentology,5640
"International Journal of Impact Engineering",5637
"Journal of Palestine Studies",5637
"Huisarts en Wetenschap",5635
"Developmental Cell",5631
"International Journal of Mineral Processing",5629
"Der Chirurg",5626
"Physical Review Letters",5619
"Journal of Safety Research",5618
"Collection of Czechoslovak Chemical Communications",5614
ChemBioChem,5611
"International Review of Mission",5610
"The Plant Cell",5608
"The Journal of Protozoology",5606
"Journal of the Society of Dyers and Colourists",5603
"Scandinavian Journal of Infectious Diseases",5603
"European Journal of Applied Physiology and Occupational Physiology",5598
"Journal of Pediatric Nursing",5594
"Surgical and Radiologic Anatomy",5593
Babel,5592
"International Endodontic Journal",5589
"JAIDS Journal of Acquired Immune Deficiency Syndromes",5589
Nonlinearity,5589
"Journal of the American Society for Mass Spectrometry",5588
"Acta Crystallographica Section B Structural Science",5585
"Journal of Parenteral and Enteral Nutrition",5584
"Social Indicators Research",5583
"Journal of School Psychology",5579
"Japanese Journal of Applied Physics",5577
"Lasers in Surgery and Medicine",5576
"Journal of Electrostatics",5575
"Quality of Life Research",5569
"Neurophysiologie Clinique/Clinical Neurophysiology",5564
"BJOG: An International Journal of Obstetrics & Gynaecology",5558
"Proceedings of the Zoological Society of London",5556
"The Journal of Modern History",5550
"THE PLANT CELL ONLINE",5549
"Archives of Sexual Behavior",5547
"Computer Graphics Forum",5544
"European Urology",5543
"Journal of African Earth Sciences",5537
"American Journal of Primatology",5534
Lithos,5532
"Drug Intelligence & Clinical Pharmacy",5529
"American Journal of Physical Medicine & Rehabilitation",5527
Xenobiotica,5525
"Metallurgical and Materials Transactions B",5521
"Food Quality and Preference",5520
"Journal of Research in Science Teaching",5517
"kma - Das Gesundheitswirtschaftsmagazin",5517
"SIAM Journal on Mathematical Analysis",5516
"Journal of Cardiac Surgery",5515
"Russian Journal of General Chemistry",5515
"The Heythrop Journal",5515
Immunobiology,5509
"ACM SIGPLAN Notices",5503
"Frontiers in Physiology",5499
"Clinical Orthopaedics and Related Research®",5498
"Journal of Autoimmunity",5494
"IEEE Transactions on Power Systems",5486
"The Mississippi Valley Historical Review",5485
"The Physician and Sportsmedicine",5485
"The Ecumenical Review",5480
"Journal of Critical Care",5476
Immunopharmacology,5474
"Philosophical Books",5470
Alcohol,5469
"Bulletin of Latin American Research",5468
"Exceptional Children",5468
"Research on Chemical Intermediates",5466
"BMC Health Services Research",5455
"Comparative Biochemistry and Physiology",5453
"Parasitology Today",5453
"Comptes Rendus Mathematique",5449
"Ecological Indicators",5449
"FEBS Journal",5448
"Economic Botany",5446
"Geologische Rundschau",5446
"Interpretation: A Journal of Bible and Theology",5446
"Atmospheric Chemistry and Physics",5444
"Nippon kagaku zassi",5442
"Microbiology and Immunology",5437
Forestry,5435
"Soil Dynamics and Earthquake Engineering",5432
"Acta Mathematica Hungarica",5430
"Global Change Biology",5430
"Monatsschrift Kinderheilkunde",5416
Drugs,5412
"Journal of Burn Care & Rehabilitation",5412
"Habitat International",5411
"Microbial Ecology",5410
"Journal of Voice",5406
"Journal of Crohn's and Colitis",5403
"Clinical Otolaryngology",5402
"Der Nervenarzt",5402
"SIAM Review",5398
"Environmental Technology",5389
"The Western Political Quarterly",5387
Semiconductors,5386
"Brain and Development",5384
"Journal of Environmental Engineering",5382
"Genetical Research",5381
"Geophysical Prospecting",5379
Cortex,5377
"Journal für die reine und angewandte Mathematik (Crelles Journal)",5377
"Reproduction in Domestic Animals",5375
"International Journal of Eating Disorders",5371
"Medical Journal Armed Forces India",5371
Neurophysiology,5370
"Études internationales",5369
"The Philosophical Review",5365
"Bulletin of Science, Technology & Society",5360
"Journal of Applied Toxicology",5359
"Journal of the Chemical Society (Resumed)",5355
HPB,5351
Neophilologus,5351
"The Journal of Academic Librarianship",5349
"Journal of the American Society for Naval Engineers",5348
"Thin-Walled Structures",5348
"The Philosophical Quarterly",5344
"International Journal of Cancer",5342
"Japanese Journal of Cancer Research",5342
"Journal of the Chemical Society, Faraday Transactions 1: Physical Chemistry in Condensed Phases",5338
"Trends in Endocrinology & Metabolism",5337
"Foreign Language Annals",5335
"RSC Advances",5334
"Home Healthcare Nurse: The Journal for the Home Care and Hospice Professional",5332
"Soft Matter",5332
"IEEE Communications Letters",5330
"Journal of Comparative Economics",5328
"Journal of Hydraulic Engineering",5327
"Pesticide Biochemistry and Physiology",5326
"Clinical Imaging",5323
"Drug Development Research",5322
"Proceedings of the Royal Society of Edinburgh: Section A Mathematics",5322
"The Journal of Popular Culture",5318
"Mammalian Genome",5309
"Journal of Analytical Toxicology",5303
"The American Journal of Philology",5303
"Quarterly Journal of Speech",5302
"BMC Infectious Diseases",5299
"Dental Abstracts",5299
"IEEE Software",5293
"Transportation Research Part A: Policy and Practice",5293
"Spectroscopy Letters",5292
"Journal of Computer and System Sciences",5287
"Science-Business eXchange",5285
"Technology and Culture",5281
Microsurgery,5280
"Der Hautarzt",5276
"International Journal of Thermal Sciences",5276
Intereconomics,5275
"Semigroup Forum",5269
"Cell Reports",5265
"Journal of Diagnostic Medical Sonography",5265
"Transplantation Journal",5265
"European Journal of Clinical Nutrition",5264
Yeast,5263
"Zeitschrift für Physikalische Chemie",5262
"JOURNAL OF THE BREWING SOCIETY OF JAPAN",5261
Cognition,5260
"Journal of Obstetric, Gynecologic & Neonatal Nursing",5258
"Procedia CIRP",5256
"Journal of Ornithology",5254
"Artificial Intelligence",5250
"Current Opinion in Cell Biology",5240
"Journal of Vacuum Science and Technology",5240
"International Journal of Rock Mechanics and Mining Sciences",5238
"Journal of Rural Studies",5238
"IEEE Transactions on Education",5237
"Experimental Techniques",5233
"Materials Science and Technology",5233
Survival,5227
"The Prostate",5225
"Zeitschrift für Pflanzenernährung und Bodenkunde",5224
"Agricultural Systems",5223
"Biochimica et Biophysica Acta (BBA) - Molecular and Cell Biology of Lipids",5223
"Philosophical Magazine Part B",5219
"Business History Review",5218
"Clinical & Experimental Immunology",5218
"Journal of the American Psychoanalytic Association",5214
Europace,5212
"Chemistry & Biology",5208
"Progress of Theoretical Physics",5206
"American Journal of Health-System Pharmacy",5204
"European Journal of Haematology",5202
"Journal of the American Society for Information Science",5202
"Chinese Chemical Letters",5201
"Nanostructured Materials",5201
"Journal of Comparative Physiology A",5200
"Frontiers in Human Neuroscience",5199
"Journal of Assisted Reproduction and Genetics",5195
Brachytherapy,5187
Andrologia,5186
"Journal of Propulsion and Power",5182
"Medical Entomology and Zoology",5182
"Mutation Research/Genetic Toxicology",5174
"General Hospital Psychiatry",5173
"ACM SIGCSE Bulletin",5172
"Journal of Analytical Atomic Spectrometry",5172
"AJP: Heart and Circulatory Physiology",5168
"Nursing Outlook",5161
Neuropeptides,5160
RadioGraphics,5156
Orbis,5155
"The European Physical Journal A",5154
"Transportation Research Part B: Methodological",5154
"Journal of Physical Oceanography",5153
"International Journal of Obstetric Anesthesia",5151
"AINS - Anästhesiologie · Intensivmedizin · Notfallmedizin · Schmerztherapie",5150
"Public Administration",5150
Psychosomatics,5147
"Hispanic Review",5146
"Arabian Journal of Geosciences",5144
"Alimentary Pharmacology & Therapeutics",5138
"PROCEEDINGS OF COASTAL ENGINEERING, JSCE",5138
"Chemie in unserer Zeit",5137
"Critical Quarterly",5137
"German History",5136
"Journal of Biomedical Materials Research Part A",5136
"International Journal of STD & AIDS",5133
"Review of Educational Research",5128
"Journal of Fish Diseases",5124
"Physica Status Solidi (b)",5124
"Environmental Microbiology",5117
Meccanica,5114
"Veterinary Surgery",5113
"Amino Acids",5112
"Psychological Review",5111
"The European Physical Journal D",5111
"Zeitschrift f�r Physik D Atoms, Molecules and Clusters",5111
"The RUSI Journal",5110
"Journal of Experimental and Theoretical Physics",5109
"Der Ophthalmologe",5108
"BMC Research Notes",5106
"Journal of Communication",5100
"Community Development Journal",5099
"Color Research & Application",5096
"Journal of Palliative Medicine",5096
"MRS Bulletin",5096
"Archives of Neurology And Psychiatry",5093
"Journal of Neurobiology",5092
"Rocks & Minerals",5091
"Biotechnology Progress",5085
"Performance Evaluation",5075
"JSAE Review",5073
Astrophysics,5072
"Avian Diseases",5072
Endeavour,5072
Weatherwise,5063
"Education + Training",5062
"New Biotechnology",5062
"Journal of Dynamic Systems, Measurement, and Control",5059
"Applied Soft Computing",5058
"History Workshop Journal",5058
"Inventiones Mathematicae",5057
"Cell Cycle",5056
"Complementary Therapies in Medicine",5052
"Journal of Developmental & Behavioral Pediatrics",5051
"Journal of Biosocial Science",5044
Resonance,5044
"New Zealand Veterinary Journal",5042
"Practical Diabetes International",5042
"Journal of Applied Meteorology",5040
"Der Radiologe",5038
"Photosynthesis Research",5038
"Interactive CardioVascular and Thoracic Surgery",5036
"Environment: Science and Policy for Sustainable Development",5035
"Journal of the American Pharmaceutical Association (Scientific ed.)",5034
"Journal de Radiologie",5030
Midwifery,5028
"International Journal of Biochemistry",5027
"Journal of Basic Microbiology",5027
"MCN, The American Journal of Maternal/Child Nursing",5027
"Clinical and Experimental Immunology",5026
"Journal of Counseling & Development",5023
"Fire Safety Journal",5022
"The Veterinary Journal",5022
"Hormone Research",5019
"Journal of Chemical Crystallography",5019
"Klinische Pädiatrie",5017
"Lettere Al Nuovo Cimento Series 2",5014
"International Journal of Radiation Biology and Related Studies in Physics, Chemistry and Medicine",5009
"Early Child Development and Care",5005
"Internal Medicine Journal",5004
"The Histochemical Journal",5004
"Journal of Engineering for Gas Turbines and Power",5002
"Biological Mass Spectrometry",5001
"JACC: Cardiovascular Interventions",5001
"The Sciences",5000
"De Economist",4997
"Journal of Engineering Mechanics",4996
"International Journal of Radiation Biology",4993
"Revue de Chirurgie Orthopédique et Traumatologique",4991
"European Journal of Plastic Surgery",4989
"Clinics in Dermatology",4987
"International Journal of Dairy Technology",4986
"Canadian Journal of Plant Science",4985
"Experimental Gerontology",4984
"Theoretica Chimica Acta",4983
"Biological Control",4981
"Journal of International Money and Finance",4973
"Scandinavian Journal of Rheumatology",4973
"The Journal of Pathology and Bacteriology",4962
"Journal of Fluids Engineering",4960
"Economic Record",4959
"ELT Journal",4956
"European Journal of Plant Pathology",4955
"Journal of Neuroendocrinology",4955
"Cellular Signalling",4951
"Revue économique",4945
"Journal of Physical Organic Chemistry",4944
"Der Urologe",4943
"Games and Economic Behavior",4942
"Geometriae Dedicata",4938
"International Journal of Information Management",4935
"Annales Médico-psychologiques, revue psychiatrique",4934
"Molecular and Cellular Neuroscience",4933
"Contemporary Sociology: A Journal of Reviews",4932
"Journal of Biomolecular Structure and Dynamics",4932
"Australian Journal of Entomology",4928
"Journal of Polymer Science: Polymer Chemistry Edition",4927
"The bulletin of the National Association of Secondary School Principals",4924
Synapse,4921
"Journal of Pediatric and Adolescent Gynecology",4920
"Journal of Teacher Education",4920
"Proceedings of the Human Factors Society Annual Meeting",4917
"C&EN Global Enterprise",4915
"Nitric Oxide",4914
"European Journal of Oral Sciences",4912
"Organic Electronics",4911
"Population and Development Review",4910
"Preventive Veterinary Medicine",4910
"Memory & Cognition",4908
"Journal of Molecular Modeling",4906
"Tree Physiology",4906
"International Journal of Computer Mathematics",4904
"Reproductive Toxicology",4902
"Journal of Adolescence",4895
"Abstract and Applied Analysis",4890
"Cytogenetic and Genome Research",4890
"The Political Quarterly",4890
"Journal of Farm Economics",4887
"Bundesgesundheitsblatt - Gesundheitsforschung - Gesundheitsschutz",4885
Endocrine,4883
"Journal of the Japan Society of Colour Material",4881
"Software: Practice and Experience",4881
"Food Hygiene and Safety Science (Shokuhin Eiseigaku Zasshi)",4879
"Computer Fraud & Security Bulletin",4877
"Radiation Effects",4877
"The Journal of Maternal-Fetal & Neonatal Medicine",4868
"American Journal of Economics and Sociology",4867
"Journal of the American Medical Directors Association",4860
"Industrial Marketing Management",4851
"Matrix Biology",4851
"Livestock Science",4850
"The Journal of the American Pharmaceutical Association (1912)",4847
"Polymers for Advanced Technologies",4845
"Journal of Health, Physical Education, Recreation",4844
"Molecular Medicine Reports",4844
"Journal of the Textile Institute Proceedings",4843
"Der Unfallchirurg",4842
"Progress in Human Geography",4842
"Journal of Applied Phycology",4841
"Acta Orthopaedica Scandinavica",4838
"Journal of Nutrition Education and Behavior",4838
"Journal of Economic Psychology",4837
"Pflügers Archiv - European Journal of Physiology",4835
"Biology of the Cell",4834
"Functional Ecology",4834
"Journal of Equine Veterinary Science",4834
"Cardiovascular Pathology",4833
"Zeitschrift f�r Zellforschung und Mikroskopische Anatomie",4833
"Journal of the Institute of Brewing",4830
"Annals of the Association of American Geographers",4828
"Nordic Journal of Botany",4826
"The Japanese Journal of Veterinary Science",4823
"Environmental Toxicology and Pharmacology",4821
"American Journal of Diseases of Children",4818
"Journal of Plankton Research",4818
Topology,4816
"Monatshefte für Chemie - Chemical Monthly",4815
"AIP Advances",4814
"Journal of Human Lactation",4813
"Heart & Lung: The Journal of Acute and Critical Care",4810
"Canadian Geotechnical Journal",4808
"Community Mental Health Journal",4807
"The European Journal of Orthodontics",4806
"Transport in Porous Media",4800
"IEEE Micro",4799
"International Journal of Hospitality Management",4797
"Food and Cosmetics Toxicology",4791
"Journal of the Society of Powder Technology, Japan",4789
"Parliamentary Affairs",4788
"The Public Historian",4788
"International Applied Mechanics",4787
"Zeitschrift für Lebensmittel-Untersuchung und -Forschung",4787
"Publications of the Astronomical Society of the Pacific",4785
"World Journal of Urology",4785
"The Mariner's Mirror",4784
TechTrends,4781
"ACS Catalysis",4779
"Quaternary Research",4778
"Computers and Geotechnics",4775
"Image and Vision Computing",4774
"Journal of Chemical Theory and Computation",4774
"Economic Geography",4771
"Soil Mechanics and Foundation Engineering",4767
"British Journal of Applied Physics",4759
Robotica,4759
CrystEngComm,4756
"Journal of Natural History",4753
"Gene Therapy",4750
"International Journal of Environmental Analytical Chemistry",4750
"Community Dentistry and Oral Epidemiology",4749
"Journal für Praktische Chemie",4749
"IEEE Transactions on Aerospace and Electronic Systems",4745
"Growth Hormone & IGF Research",4743
"International Journal of Rehabilitation Research",4742
"Teaching and Teacher Education",4739
"CA: A Cancer Journal for Clinicians",4737
"Journal of Applied Ichthyology",4737
"Sangyo Eiseigaku Zasshi",4737
"Alternatives to the High Cost of Litigation",4736
"Journal of Personality Assessment",4736
"Canadian Anaesthetists’ Society Journal",4735
"Soviet Mining Science",4735
"Journal of Periodontal Research",4734
"Materials Characterization",4733
Hereditas,4730
"International Journal of Non-Linear Mechanics",4730
"Studies in Conservation",4730
"Bulletin des Sociétés Chimiques Belges",4729
"IEEE Journal of Selected Topics in Quantum Electronics",4728
"Industrial & Engineering Chemistry Fundamentals",4728
"Journal of Mass Spectrometry",4728
"Journalism Quarterly",4728
"American Journal of Reproductive Immunology",4725
"Journal of Veterinary Internal Medicine",4725
System,4725
"Journal of Professional Nursing",4721
"Eisei kagaku",4720
"Arthropod Management Tests",4718
"Fundamental and Applied Toxicology",4718
"Health Psychology",4716
"Journal of Medical Systems",4716
"Journal of Toxicology and Environmental Health",4716
"Journal of the Physical Society of Japan",4716
"Journal of the Academy of Nutrition and Dietetics",4715
"Neurourology and Urodynamics",4714
"Personality and Social Psychology Bulletin",4713
"The Breast",4712
"Documenta Ophthalmologica",4709
"Mathematical Social Sciences",4705
PMLA,4703
"Ear and Hearing",4702
"Isotopenpraxis Isotopes in Environmental and Health Studies",4699
"Journal of Biosciences",4699
"The Biological Bulletin",4699
"Journal of Orthopaedic Trauma",4698
"Current Genetics",4697
"Néphrologie & Thérapeutique",4696
"IEEE Translation Journal on Magnetics in Japan",4694
"Grass and Forage Science",4692
"Journal of Great Lakes Research",4691
"Experimental and Molecular Pathology",4690
"Applied Mathematics and Mechanics",4689
"Global and Planetary Change",4687
"Inflammatory Bowel Diseases",4687
"Electroencephalography and Clinical Neurophysiology/Electromyography and Motor Control",4685
"Chemical Senses",4681
"Genes, Chromosomes and Cancer",4681
"Proteins: Structure, Function, and Bioinformatics",4679
"Biochemical Genetics",4678
"Seminars in Thrombosis and Hemostasis",4677
"Africa Research Bulletin: Political, Social and Cultural Series",4673
Pharmacopsychiatry,4671
"International Journal of Industrial Organization",4667
"Nature Neuroscience",4667
"The Journal of the Operational Research Society",4667
"Australian Journal of Public Administration",4666
"Pure and Applied Geophysics PAGEOPH",4659
"Applied Economics Letters",4658
"Revista Española de Cardiología",4657
"Plant Cell, Tissue and Organ Culture",4656
"American Behavioral Scientist",4655
SIMULATION,4647
"QJM: An International Journal of Medicine",4646
"Air Medical Journal",4645
Fibrinolysis,4645
"Journal of the American Veterinary Medical Association",4642
"Glycoconjugate Journal",4640
"Nature Methods",4637
HNO,4635
"In Vitro Cellular & Developmental Biology - Animal",4635
"The Bryologist",4633
"Acta Horticulturae",4631
"Chaos: An Interdisciplinary Journal of Nonlinear Science",4630
"Functional Analysis and Its Applications",4629
"Journal of Health Economics",4628
"Cardiovascular Drugs and Therapy",4627
"Journal of Geometry and Physics",4627
"Revue d'histoire de l'Amérique française",4627
"Transactions of Nonferrous Metals Society of China",4627
Medizinrecht,4623
"Theoretical and Applied Climatology",4622
"International Ophthalmology",4618
"Israel Journal of Chemistry",4617
"Progress in Organic Coatings",4616
"Reports of Patent, Design and Trade Mark Cases",4616
"Fortschritte der Neurologie · Psychiatrie",4613
"Anales de Pediatría",4612
"Computerized Medical Imaging and Graphics",4610
"International Journal of Systematic Bacteriology",4605
"Plant Breeding",4604
"Applicable Analysis",4603
"Journal of Statistical Computation and Simulation",4603
"Canadian Journal of Civil Engineering",4602
"Medical Mycology",4602
"The Quarterly Journal of Mathematics",4601
"European Journal of Human Genetics",4593
"The American Journal of Geriatric Psychiatry",4593
"Therapeutic Drug Monitoring",4593
"Journal of Neurotrauma",4592
"Der Anaesthesist",4591
"Human Brain Mapping",4588
Holzforschung,4585
"IEEE Transactions on Electrical Insulation",4582
"Molecular Pharmacology",4582
"Focus on Pigments",4580
Geothermics,4578
"Microbes and Infection",4577
"Cold Regions Science and Technology",4575
"Drying Technology",4574
"Space Policy",4574
"Theoretical and Applied Fracture Mechanics",4574
Crustaceana,4572
"Materials Science Forum",4570
"Journal of Vocational Behavior",4568
"Cancer Immunology, Immunotherapy",4566
"Zoological Journal of the Linnean Society",4566
"Journal of Veterinary Pharmacology and Therapeutics",4560
"International Journal of Biometeorology",4559
"Proceedings of the Combustion Institute",4559
"Journal of Superconductivity and Novel Magnetism",4555
"Cornell Hotel and Restaurant Administration Quarterly",4552
"Economic Affairs",4552
"Health Education Journal",4547
Genetics,4540
Nanoscale,4540
"Zeitschrift für die gesamte Neurologie und Psychiatrie",4534
"Soil Science and Plant Nutrition",4533
"The Journal of Negro Education",4533
"Analog Integrated Circuits and Signal Processing",4531
"Journal of Social Issues",4531
"Computers in Biology and Medicine",4528
Psychometrika,4527
"ACS Sustainable Chemistry & Engineering",4526
"Developmental Psychobiology",4524
"Political Geography",4521
"Journal of the Meteorological Society of Japan. Ser. II",4520
"Proceedings of the Institution of Electrical Engineers",4520
"Clinical Oral Implants Research",4517
"Archive for Rational Mechanics and Analysis",4516
"Vingtième Siècle. Revue d'histoire",4514
"Manuscripta Mathematica",4513
"Heat and Mass Transfer",4511
Albion,4510
"The British Journal of Criminology",4510
"PLoS Genetics",4507
"Comparative Immunology, Microbiology and Infectious Diseases",4506
"The Journal of Nutritional Biochemistry",4504
"Water Science & Technology",4501
"Behavioural Pharmacology",4500
"Population Studies",4500
"Women's Studies International Forum",4500
"Acta Biomaterialia",4499
"Journal of Food Composition and Analysis",4499
"Auris Nasus Larynx",4495
"Journal of Biochemistry",4493
"Bell System Technical Journal",4490
"Cancer Treatment Reviews",4490
"Journal of Nutritional Science and Vitaminology",4490
"Australasian Journal of Dermatology",4486
"Journal of Polymer Science",4486
"Agronomy Journal",4483
"Human Relations",4483
"Peabody Journal of Education",4481
"Phys. Chem. Chem. Phys.",4479
"Social Psychiatry and Psychiatric Epidemiology",4479
"International Journal of Project Management",4478
"Bulletin de la Société Botanique de France",4477
"Journal of Anesthesia",4476
"Resources Policy",4473
"Journal of Clinical Immunology",4468
"The Journal of General Psychology",4468
"X-Ray Spectrometry",4465
"Computers & Electrical Engineering",4464
"Data & Knowledge Engineering",4461
"Zeitschrift für Angewandte Entomologie",4456
"American Speech",4452
"The American Journal of Digestive Diseases",4452
"Plant Disease",4449
"Inflammation Research",4448
"International Journal of Gynecological Cancer",4448
"Lettere al Nuovo Cimento",4448
"Medical Oncology",4448
"Water Resources Management",4448
"Journal of Emergency Nursing",4447
"Studies in Computational Intelligence",4447
"Journal of Youth and Adolescence",4446
"Journal de Pédiatrie et de Puériculture",4445
"College Composition and Communication",4444
"Journal of the Geological Society",4438
"Current Medical Research and Opinion",4436
"Journal of the American Academy of Religion",4435
"Neuropathology and Applied Neurobiology",4430
Respirology,4430
"Pharmacology & Therapeutics",4429
"Journal of Neuropathology & Experimental Neurology",4428
"Liver Transplantation",4423
"Annals of Human Genetics",4422
"Hydrological Sciences Journal",4422
"Applied Soil Ecology",4421
"Journal of Graph Theory",4420
"Toxicological & Environmental Chemistry",4419
"Higher Education",4418
"Clinical Psychology Review",4416
"Radiation Effects and Defects in Solids",4416
"Journal of Fluids and Structures",4407
"Cell Calcium",4404
"Pan African Medical Journal",4404
"Russian Journal of Organic Chemistry",4403
"e & i Elektrotechnik und Informationstechnik",4403
"Journal of Petrology",4402
"Radiation Physics and Chemistry",4402
"International Archives of Occupational and Environmental Health",4391
"Regional Studies",4391
"Journal of the Forensic Science Society",4389
"Chicago Review",4388
"Information Systems",4388
"Progress in Neurobiology",4387
"Journal of Orthopaedic & Sports Physical Therapy",4386
"Journal of International Medical Research",4385
Chirality,4384
"Journal of Experimental and Theoretical Physics Letters",4382
"Pharmazie in Unserer Zeit",4382
"Archiv für Tierernaehrung",4380
"Archives des Maladies Professionnelles et de l'Environnement",4380
"Journal of Industrial and Engineering Chemistry",4379
"Annals of Pharmacotherapy",4377
Differentiation,4375
"Journal of Herpetology",4371
"Radiation Research",4371
"Cretaceous Research",4370
"Annals of Clinical Biochemistry: An international journal of biochemistry and laboratory medicine",4368
"Psychotherapy: Theory, Research, Practice, Training",4368
"Wuhan University Journal of Natural Sciences",4368
Lupus,4367
Oceania,4367
"American Educational Research Journal",4365
"Atomic Energy",4364
"Experimental and Clinical Endocrinology & Diabetes",4362
"IEEE Access",4361
Design,4358
"Industrial & Engineering Chemistry Product Research and Development",4357
"Journal of Women's Health",4354
"The Social Science Journal",4354
"International Journal of Oncology",4353
"Systems and Computers in Japan",4353
"Otology & Neurotology",4352
"DNA and Cell Biology",4349
"Propellants, Explosives, Pyrotechnics",4349
"The Modern Law Review",4349
"The Australian and New Zealand Journal of Obstetrics and Gynaecology",4348
"Current Opinion in Microbiology",4347
"Spinal Cord",4346
"Soft Computing",4344
"Design Studies",4342
History,4335
"International Journal of Andrology",4335
"Melanoma Research",4334
"Journal of Pediatric Urology",4325
"Abdominal Imaging",4324
"Journal of Business & Economic Statistics",4321
"The Mathematical Intelligencer",4319
Birth,4318
"Journal of Traumatic Stress",4318
"The Journal of Abnormal and Social Psychology",4318
"Cell Biology International",4317
Cybernetics,4315
"The Sociological Review",4314
"European Journal of Epidemiology",4313
"Nature Immunology",4313
"E3S Web of Conferences",4311
"Books Ireland",4309
"Frontiers in Pharmacology",4307
Nephrology,4305
Neuropediatrics,4304
"Astronomy & Geophysics",4300
"Journal of Macromolecular Science: Part A - Chemistry",4300
"Immunological Reviews",4299
"English Studies",4298
"Biology and Fertility of Soils",4295
"The International Journal of Applied Radiation and Isotopes",4294
"Journal of Clinical Engineering",4291
"Urological Research",4289
"Aktuelle Neurologie",4286
"Der Onkologe",4286
"Child: Care, Health and Development",4284
"INCOSE International Symposium",4284
"Pharmacological Research Communications",4284
Inflammation,4283
"Journal of Comparative Psychology",4282
"Journal of Clinical Pharmacy and Therapeutics",4278
"Advances in Colloid and Interface Science",4276
"Historia Mathematica",4276
"Wave Motion",4275
"International Journal of Mathematical Education in Science and Technology",4274
"Blood Coagulation & Fibrinolysis",4273
"IEEE Antennas and Propagation Magazine",4273
"Rehabilitation Nursing",4270
"Seminars in Nuclear Medicine",4267
"Film Quarterly",4265
"Trends in Biotechnology",4262
"Current Opinion in Structural Biology",4253
"Journal of Manipulative and Physiological Therapeutics",4251
"Mutation Research Letters",4249
"International Journal of Environmental Studies",4247
"Medical Engineering & Physics",4246
"Probation Journal",4246
"Transactions of the American Institute of Electrical Engineers",4245
Water,4245
"Clinical Anatomy",4244
"Géotechnique",4241
"Journal of Thoracic Oncology",4240
"CrossRef Listing of Deleted DOIs",4235
"Agroforestry Systems",4231
"The Lichenologist",4231
"Veterinary Research Communications",4230
"Aktuelle Urologie",4229
Glycobiology,4228
"British Journal of Neurosurgery",4227
"Applied Geography",4225
"International Ophthalmology Clinics",4225
"Sixteenth Century Journal",4224
"Frontiers in Neuroscience",4222
"The Journal of Applied Ecology",4222
"Journal of Anxiety Disorders",4220
"Archaeological Journal",4218
"Communications in Statistics - Simulation and Computation",4214
"Il Nuovo Cimento B Series 11",4214
"Key Engineering Materials",4213
"Kinésithérapie, la Revue",4210
Primates,4210
"Coastal Engineering",4207
"Environmental and Experimental Botany",4207
"Journal of Radioanalytical and Nuclear Chemistry Letters",4207
"Procedia Environmental Sciences",4205
"Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology",4202
"Bulletin of the Japan Institute of Metals",4198
"Endocrinologia Japonica",4198
"Applied Ocean Research",4195
"AIDS and Behavior",4188
"Pediatric Critical Care Medicine",4187
"Cement and Concrete Composites",4186
"Health Libraries Review",4183
"Economic Inquiry",4182
"Journal of Macroeconomics",4181
"Journal of Pediatric Hematology/Oncology",4181
"Plant Growth Regulation",4179
"The Journal of Religion",4178
"Journal of Obstetrics and Gynaecology Research",4174
"Pure and Applied Geophysics",4172
"Computer Aided Geometric Design",4171
"European Journal of Vascular and Endovascular Surgery",4171
"Journal of Abnormal Child Psychology",4170
"Journal of Mathematical Chemistry",4170
MLN,4170
"Journal of European Studies",4169
"Powder Metallurgy and Metal Ceramics",4169
"Journal of Rheology",4167
"Millennium: Journal of International Studies",4166
"IUBMB Life",4165
"Journal of Clinical Forensic Medicine",4163
"Political Studies",4162
"Respiratory Physiology & Neurobiology",4161
"Zeitschrift f�r Physik C Particles and Fields",4161
"Journal of Essential Oil Research",4159
"IEEE Engineering in Medicine and Biology Magazine",4158
"International Journal of Social Psychiatry",4157
"Mediators of Inflammation",4155
"Australian Journal of Experimental Biology and Medical Science",4153
